"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2021","3.9567","4.0248","4.0450","3.9428","-","-2.64%"
"Mar 24, 2021","4.0640","4.0265","4.1050","4.0170","73.58K","-0.38%"
"Mar 23, 2021","4.0795","4.1445","4.1650","4.0160","81.75K","-1.45%"
"Mar 22, 2021","4.1395","4.1075","4.1480","4.0760","58.81K","0.64%"
"Mar 19, 2021","4.1130","4.0630","4.1215","4.0105","75.17K","0.12%"
"Mar 18, 2021","4.1080","4.1440","4.1570","4.0480","67.41K","-0.27%"
"Mar 17, 2021","4.1190","4.0625","4.1615","4.0460","58.92K","1.17%"
"Mar 16, 2021","4.0715","4.1415","4.1495","4.0405","72.25K","-1.67%"
"Mar 15, 2021","4.1405","4.1600","4.1900","4.1105","60.22K","0.01%"
"Mar 12, 2021","4.1400","4.1440","4.1580","4.0665","68.50K","0.02%"
"Mar 11, 2021","4.1390","4.0355","4.1500","4.0095","89.65K","2.64%"
"Mar 10, 2021","4.0325","4.0135","4.0625","3.9815","74.71K","0.60%"
"Mar 09, 2021","4.0085","4.0795","4.1210","3.9720","105.19K","-2.06%"
"Mar 08, 2021","4.0930","4.1170","4.1705","3.9965","112.00K","0.43%"
"Mar 05, 2021","4.0755","3.9535","4.1105","3.9015","130.26K","2.44%"
"Mar 04, 2021","3.9785","4.1065","4.1505","3.8490","172.33K","-3.95%"
"Mar 03, 2021","4.1420","4.2080","4.2215","4.1020","106.17K","-1.89%"
"Mar 02, 2021","4.2220","4.1005","4.2275","4.0415","125.09K","2.65%"
"Mar 01, 2021","4.1130","4.1060","4.1810","4.0890","106.83K","0.50%"
"Feb 26, 2021","4.0925","4.2055","4.2555","4.0765","176.04K","-4.01%"
"Feb 25, 2021","4.2635","4.3215","4.3755","4.1910","167.03K","-0.94%"
"Feb 24, 2021","4.3040","4.2205","4.3305","4.1480","123.38K","2.78%"
"Feb 23, 2021","4.1875","4.1555","4.2335","4.0975","79.81K","0.93%"
"Feb 22, 2021","4.1490","4.0660","4.2200","4.0660","73.69K","1.75%"
"Feb 19, 2021","4.0775","3.9095","4.0965","3.8930","70.72K","4.36%"
"Feb 18, 2021","3.9070","3.8280","3.9325","3.8240","48.01K","2.13%"
"Feb 17, 2021","3.8255","3.8360","3.8415","3.7965","41.48K","-0.23%"
"Feb 16, 2021","3.8345","3.8000","3.8440","3.7980","32.56K","0.33%"
"Feb 15, 2021","3.8218","3.8005","3.8340","3.7997","-","0.57%"
"Feb 14, 2021","3.8003","3.7960","3.8087","3.7960","-","0.32%"
"Feb 12, 2021","3.7880","3.7805","3.8050","3.7210","64.86K","0.44%"
"Feb 11, 2021","3.7715","3.7740","3.7920","3.7500","68.12K","-0.03%"
"Feb 10, 2021","3.7725","3.7170","3.7955","3.7140","102.12K","1.41%"
"Feb 09, 2021","3.7200","3.6785","3.7255","3.6670","96.42K","1.47%"
"Feb 08, 2021","3.6660","3.6390","3.6800","3.6225","80.15K","1.10%"
"Feb 05, 2021","3.6260","3.5520","3.6400","3.5515","83.46K","2.05%"
"Feb 04, 2021","3.5530","3.5620","3.5830","3.5370","66.30K","-0.35%"
"Feb 03, 2021","3.5655","3.5275","3.5730","3.5035","70.47K","1.16%"
"Feb 02, 2021","3.5245","3.5510","3.5690","3.5000","85.09K","-0.61%"
"Feb 01, 2021","3.5460","3.5555","3.5850","3.5235","78.82K","-0.28%"
"Jan 29, 2021","3.5560","3.5745","3.6125","3.5320","94.56K","-0.61%"
"Jan 28, 2021","3.5780","3.5470","3.5985","3.4910","115.39K","0.58%"
"Jan 27, 2021","3.5575","3.6170","3.6280","3.5205","105.18K","-1.71%"
"Jan 26, 2021","3.6195","3.6295","3.6415","3.5810","60.31K","-0.28%"
"Jan 25, 2021","3.6295","3.6215","3.6405","3.5920","63.75K","0.10%"
"Jan 22, 2021","3.6260","3.6470","3.6520","3.5635","82.15K","-0.59%"
"Jan 21, 2021","3.6475","3.6440","3.6735","3.6335","54.04K","0.16%"
"Jan 20, 2021","3.6415","3.6270","3.6640","3.6160","52.14K","0.22%"
"Jan 19, 2021","3.6335","3.5930","3.6535","3.5585","110.27K","0.46%"
"Jan 18, 2021","3.6168","3.5762","3.6488","3.5737","-","1.14%"
"Jan 17, 2021","3.5760","3.6000","3.6060","3.5585","-","-0.72%"
"Jan 15, 2021","3.6020","3.6735","3.6840","3.5865","72.98K","-1.71%"
"Jan 14, 2021","3.6645","3.6105","3.6750","3.6015","71.34K","1.31%"
"Jan 13, 2021","3.6170","3.6460","3.6495","3.6050","64.87K","0.32%"
"Jan 12, 2021","3.6055","3.5580","3.6485","3.5570","78.26K","1.15%"
"Jan 11, 2021","3.5645","3.6925","3.6925","3.5515","95.19K","-2.97%"
"Jan 08, 2021","3.6735","3.7060","3.7340","3.6290","106.39K","-0.61%"
"Jan 07, 2021","3.6960","3.6615","3.7115","3.6405","63.68K","1.25%"
"Jan 06, 2021","3.6505","3.6465","3.7075","3.6245","93.05K","0.30%"
"Jan 05, 2021","3.6395","3.5560","3.6630","3.5560","65.95K","2.39%"
"Jan 04, 2021","3.5545","3.5270","3.6070","3.5220","78.59K","0.98%"
"Jan 01, 2021","3.5200","3.5200","3.5200","3.5200","-","0.03%"